581	19324	3
1871	21900	1
723	1047	8
723	1230	2
723	3792	2
723	3795	4
723	4329	1
723	4927	1
723	10300	1
723	18682	1
723	18853	5
723	19364	5
723	19540	2
723	19569	1
723	20750	2
723	21743	1
723	21749	4
723	21785	1
723	23182	1
2745	255	3
2745	273	3
2745	300	3
2745	994	3
2745	1079	3
2745	19522	2
338	420	1
338	444	1
338	535	1
338	726	2
338	761	1
338	861	1
338	1406	1
338	2015	1
338	3669	1
338	3916	2
338	3917	1
338	4440	2
941	7299	3
941	8091	3
941	8311	2
941	16279	20
941	16282	3
941	16288	9
941	18590	10
941	18630	13
941	18642	7
941	18643	7
941	20668	14
941	21457	2
941	21629	5
941	21631	5
941	24208	1
811	16	3
811	242	3
811	284	3
811	427	2
811	994	1
811	1080	2
811	1274	1
811	2037	3
811	2988	3
811	3002	3
811	4541	4
811	4632	1
811	6148	2
811	6155	2
811	7994	1
811	14708	2
811	15822	1
811	17851	1
811	18551	2
811	18682	2
811	19364	2
811	20512	2
811	20513	2
811	21125	1
811	21785	1
811	21862	2
811	22818	1
811	24947	1
811	24948	1
1593	2	3
1593	355	1
1593	1022	1
1593	1047	2
1593	1464	1
1593	2958	1
1593	6719	1
1593	7060	2
1593	7084	1
1593	7091	1
1593	18395	1
1593	18770	1
1593	23487	1
2290	2	7
2290	110	15
2290	117	4
2290	118	5
2290	120	4
2290	121	3
2290	242	1
2290	245	1
2290	273	16
2290	274	3
2290	300	4
2290	306	3
2290	309	3
2290	321	25
2290	322	3
2290	327	1
2290	328	8
2290	334	1
2290	339	1
2290	340	3
2290	341	3
2290	343	2
2290	344	1
2290	353	2
2290	363	1
2290	379	2
2290	397	1
2290	399	1
2290	406	1
2290	407	4
2290	409	11
2290	416	3
2290	419	8
2290	421	3
2290	426	1
2290	427	11
2290	429	2
2290	430	6
2290	432	1
2290	433	1
2290	435	1
2290	460	19
2290	473	4
2290	474	1
2290	536	2
2290	663	1
2290	712	2
2290	724	9
2290	726	19
2290	729	1
2290	736	2
2290	741	4
2290	746	10
2290	839	1
2290	858	1
2290	861	2
2290	912	5
2290	914	2
2290	915	3
2290	949	1
2290	969	23
2290	1014	1
2290	1017	9
2290	1022	4
2290	1041	2
2290	1046	3
2290	1047	10
2290	1048	1
2290	1076	1
2290	1077	6
2290	1079	10
2290	1080	2
2290	1081	7
2290	1087	1
2290	1336	2
2290	1404	4
2290	1440	1
2290	1464	2
2290	1466	1
2290	1469	1
2290	1470	1
2290	1500	2
2290	1503	2
2290	1762	1
2290	1763	1
2290	1818	3
2290	2018	2
2290	2232	2
2290	2234	1
2290	2325	9
2290	2500	1
2290	2502	10
2290	2538	1
2290	2627	2
2290	2668	2
2290	2684	7
2290	2824	2
2290	2929	2
2290	2945	3
2290	3001	10
2290	3130	2
2290	3189	3
2290	3315	1
2290	3346	1
2290	3442	2
2290	3467	3
2290	3628	2
2290	3791	2
2290	3907	2
2290	4170	1
2290	4173	1
2290	4443	1
2290	4568	1
2290	4607	10
2290	4808	2
2290	4927	2
2290	5137	1
2290	5436	2
2290	5642	1
2290	5694	3
2290	6364	1
2290	6400	1
2290	6744	3
2290	6910	1
2290	7118	1
2290	7281	1
2290	7283	1
2290	7325	1
2290	7429	2
2290	7605	5
